upedonid,MO,MOGr,LU,MOGrLU,rcasiteid,upedon,Sample_count,SOCstock5,SOCstock30,SOCstock100,total_thickness,SOC_count,Lab_count,Depth_to_R,Non-R_SampleCount,SOC_thickness,USE,RaCA_Id,Gen_lat,Gen_long
C1609W11-1,16,1609,W,1609W,C1609W11,C1609W111,3,47.2786048909624,119.071343188477,265.722831416862,100,3,3,,3,100,100.0,C1609W11,34.28,-90.31
C1609W12-1,16,1609,W,1609W,C1609W12,C1609W121,3,63.6798596877859,134.173308882817,259.242497704686,100,3,3,,3,100,100.0,C1609W12,36.2,-89.55
C1609W13-1,16,1609,W,1609W,C1609W13,C1609W131,3,14.2817249733554,115.151188900692,392.361339158928,100,3,3,,3,100,100.0,C1609W13,34.75,-90.29
C1609W14-1,16,1609,W,1609W,C1609W14,C1609W141,3,47.3053327291201,157.463785650205,243.54860528523201,100,3,3,,3,100,100.0,C1609W14,34.56,-90.45
C1609W15-1,16,1609,W,1609W,C1609W15,C1609W151,7,6.39058122561054,41.4613890671589,116.27422933583,203,5,7,,7,119,100.0,C1609W15,34.57,-91.64
C1609W16-1,16,1609,W,1609W,C1609W16,C1609W161,4,31.509274253158,77.19640113144759,182.702837956157,150,4,4,,4,150,100.0,C1609W16,33.05,-93.79
C1609W21-1,16,1609,W,1609W,C1609W21,C1609W211,8,23.2648190553539,71.8214161883333,111.748675804046,203,6,8,,8,117,100.0,C1609W21,34.29,-92.46
C1609W24-1,16,1609,W,1609W,C1609W24,C1609W241,5,36.98658362074121,63.5220043905226,89.0923843136165,100,5,5,,5,100,100.0,C1609W24,30.27,-90.76
C1609X01-1,16,1609,X,1609X,C1609X01,C1609X011,5,22.478603589460803,53.0819220588659,107.36274412844601,100,5,5,,5,100,100.0,C1609X01,33.52,-90.85
C1609X06-1,16,1609,X,1609X,C1609X06,C1609X061,8,7.878446940929611,37.4812830121212,62.9024057516751,203,5,8,,8,122,100.0,C1609X06,34.48,-91.34
C1610C01-1,16,1610,C,1610C,C1610C01,C1610C011,4,12.3783049752494,39.286040621594,68.1761838630255,100,4,4,,4,100,100.0,C1610C01,36.01,-89.28
2010-MO069-C1610C02-1,16,1610,C,1610C,C1610C02,C1610C021,5,7.186817081730809,26.126206912502898,40.895608310950706,125,4,5,,5,100,100.0,C1610C02,36.51,-90.0
C1610C03-1,16,1610,C,1610C,C1610C03,C1610C031,3,9.389490832202421,46.1149036672009,126.355503773669,100,3,3,,3,100,100.0,C1610C03,36.1,-89.79
C1610C04-1,16,1610,C,1610C,C1610C04,C1610C041,5,7.122780318179309,32.4595698399329,87.5840600003644,150,5,5,,5,150,100.0,C1610C04,34.47,-90.65
C1610C05-1,16,1610,C,1610C,C1610C05,C1610C051,6,4.4375252137515,30.514174870096998,87.413324890937,100,6,6,,6,100,100.0,C1610C05,35.76,-89.73
C1610F01-1,16,1610,F,1610F,C1610F01,C1610F011,6,16.194055281429698,46.4683060357133,74.33573691983491,100,6,6,,6,100,100.0,C1610F01,33.44,-93.05
C1610F02-1,16,1610,F,1610F,C1610F02,C1610F021,5,12.9393366769188,32.605326306212696,66.1654237760972,100,5,5,,5,100,100.0,C1610F02,32.63,-90.17
C1610F05-1,16,1610,F,1610F,C1610F05,C1610F051,4,11.613893761926999,50.078698746928,80.3493127618007,100,4,4,,4,100,100.0,C1610F05,34.95,-89.2
C1610F07-1,16,1610,F,1610F,C1610F07,C1610F071,5,10.034443842779801,37.754357678804396,75.2910987479224,200,4,5,,5,126,100.0,C1610F07,30.71,-94.84
C1610F10-1,16,1610,F,1610F,C1610F10,C1610F101,5,7.053767009479389,39.1483279778423,60.610359688523204,100,5,5,,5,100,100.0,C1610F10,31.47,-90.75
C1610P01-1,16,1610,P,1610P,C1610P01,C1610P011,5,6.80613544070153,22.2766908623253,53.06188048785629,100,5,5,,5,100,100.0,C1610P01,32.44,-90.6
C1610P03-1,16,1610,P,1610P,C1610P03,C1610P031,3,6.784341767668519,20.1171071770465,53.01367107016279,100,3,3,,3,100,100.0,C1610P03,36.0,-88.79
C1610P05-1,16,1610,P,1610P,C1610P05,C1610P051,3,14.1031285831435,20.925006960236,37.1162143073921,100,3,3,,3,100,100.0,C1610P05,36.01,-89.25
C1610P09-1,16,1610,P,1610P,C1610P09,C1610P091,6,25.3363510220971,53.2839434975645,120.35254299691299,200,4,6,,6,112,100.0,C1610P09,31.31,-95.97
C1610P78-1,16,1610,P,1610P,C1610P78,C1610P781,5,27.8765795546807,64.2221060915125,85.3615535567165,100,5,5,,5,100,100.0,C1610P78,33.71,-90.06
C1610R99-1,16,1610,R,1610R,C1610R99,C1610R991,7,36.260651935270204,84.7048877167215,159.88604120984,200,6,7,,7,150,100.0,C1610R99,31.39,-95.75
C1610W02-1,16,1610,W,1610W,C1610W02,C1610W021,5,14.2880493049556,64.6936810706911,270.852012032923,203,4,5,,5,143,100.0,C1610W02,32.67,-94.91
C1610W03-1,16,1610,W,1610W,C1610W03,C1610W031,5,5.24387356510023,93.3182403168133,147.778210216996,100,5,5,,5,100,100.0,C1610W03,35.69,-89.92
C1610W04-1,16,1610,W,1610W,C1610W04,C1610W041,5,35.5956013612307,69.9767789686072,101.584738431658,100,5,5,,5,100,100.0,C1610W04,31.24,-90.55
C1610W17-1,16,1610,W,1610W,C1610W17,C1610W171,5,23.2087730517885,43.321972150806,64.4636280252439,100,5,5,,5,100,100.0,C1610W17,31.32,-91.24
C1610X03-1,16,1610,X,1610X,C1610X03,C1610X031,3,8.94655754710042,27.9011218909125,51.4777236568334,100,3,3,,3,100,100.0,C1610X03,34.78,-89.91
C1610X96-1,16,1610,X,1610X,C1610X96,C1610X961,5,17.044467950234303,45.0835133343182,56.047039762252396,100,5,5,,5,100,100.0,C1610X96,34.31,-90.11
